x,y,z
359.0,-12.0,1
359.0,-12.0,0
360.20000000000016,-12.000000000000004,0
361.40000000000003,-12.000000000000002,0
362.6,-12.0,0
363.80000000000007,-12.000000000000002,0
365.0,-12.0,0
365.0,-12.0,0
365.75,-12.75,0
366.5,-13.5,0
367.25,-14.25,0
368.0,-15.0,0
368.0,-15.0,0
368.5,-16.0,0
369.0,-17.0,0
369.0,-17.0,0
369.0993413238311,-17.986394557823125,0
369.19745167908434,-18.974149659863947,0
369.2944606413995,-19.96326530612245,0
369.3904977864161,-20.95374149659864,0
369.4856926897742,-21.94557823129251,0
369.5801749271137,-22.93877551020408,0
369.67407407407416,-23.933333333333337,0
369.7675197062952,-24.929251700680272,0
369.86064139941686,-25.926530612244896,0
369.95356872907894,-26.92517006802721,0
370.04643127092106,-27.925170068027207,0
370.1393586005832,-28.926530612244896,0
370.2324802937048,-29.929251700680272,0
370.32592592592596,-30.93333333333333,0
370.4198250728863,-31.93877551020408,0
370.5143073102256,-32.945578231292515,0
370.6095022135838,-33.95374149659864,0
370.7055393586006,-34.96326530612245,0
370.80254832091566,-35.97414965986394,0
370.90065867616886,-36.98639455782313,0
371.0,-38.0,0
371.0,-38.0,0
371.1973594074075,-39.48412444444445,0
371.389541925926,-40.9292088888889,0
371.57670399999995,-42.33631999999999,0
371.75900207407403,-43.70652444444443,0
371.9365925925926,-45.040888888888894,0
372.10963200000003,-46.34048000000001,0
372.2782767407407,-47.60636444444444,0
372.4426832592593,-48.83960888888888,0
372.60300800000005,-50.04128,0
372.7594074074075,-51.21244444444445,0
372.91203792592586,-52.35416888888888,0
373.0610559999999,-53.467519999999986,0
373.206618074074,-54.55356444444444,0
373.34888059259265,-55.61336888888889,0
373.4880000000001,-56.64800000000002,0
373.62413274074066,-57.658524444444446,0
373.7574352592593,-58.646008888888886,0
373.8880640000001,-59.611520000000006,0
374.01617540740733,-60.556124444444436,0
374.141925925926,-61.4808888888889,0
374.265472,-62.38688,0
374.3869700740741,-63.27516444444444,0
374.5065765925927,-64.1468088888889,0
374.624448,-65.00287999999999,0
374.74074074074076,-65.84444444444445,0
